PLAYER,TEAM_SH,G,GS,MP,TRB,AST,STL,BLK,PS/G,GP,W,L,NETRTG,TS%,PIE,MPG,RPM,WINS,pageviews,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,POSITION,TEAM,SALARY,AVG,PCT
Nick Young,LAL,60,60,25.9,2.3,1.0,0.6,0.2,13.2,60,19,41,-6.9,58.8,7.5,25.9,0.65,3.82,15.721,45.5,14.0, SG,Los Angeles Lakers,5443918.0,18949,99.4
Elfrid Payton,ORL,82,58,29.4,4.7,6.5,1.1,0.5,12.8,82,29,53,-2.7,52.0,11.7,29.4,0.34,5.38,1.951,19.0,8.0, PG,Orlando Magic,2613600.0,17753,94.2
Aaron Gordon,ORL,80,72,28.7,5.1,1.9,0.8,0.5,12.7,80,29,51,-2.8,53.0,8.8,28.7,0.47,5.32,627.319,42.5,16.0, PF,Orlando Magic,4351320.0,17753,94.2
Jonas Valanciunas,TOR,80,80,25.8,9.5,0.7,0.5,0.8,12.0,80,50,30,2.5,60.1,13.6,25.8,0.01,4.06,2.942,65.0,40.0, C,Toronto Raptors,14382023.0,19830,100.2
Trevor Ariza,HOU,80,80,34.7,5.7,2.2,1.8,0.3,11.7,80,53,27,5.7,54.8,8.5,34.7,1.93,9.29,206.381,10.0,15.0, SF,Houston Rockets,7806971.0,16973,94.1
Greg Monroe,MIL,81,0,22.5,6.6,2.3,1.1,0.5,11.7,81,42,39,3.7,57.2,13.9,22.5,1.55,5.34,115.932,9.0,7.0, C,Milwaukee Bucks,17145838.0,15828,84.6
Steven Adams,OKC,80,80,29.9,7.7,1.1,1.1,1.0,11.3,80,47,33,2.8,58.9,9.7,29.9,1.38,7.01,1445.971,36.0,99.0, C,Oklahoma City Thunder,3140517.0,18203,100.0
Ricky Rubio,MIN,75,75,32.9,4.1,9.1,1.7,0.1,11.1,75,28,47,-1.0,53.9,11.4,32.9,2.49,8.72,332.978,262.5,76.0, PG,Minnesota Timberwolves,13550000.0,14809,76.5
Jerryd Bayless,PHI,3,1,23.7,4.0,4.3,0.0,0.0,11.0,3,1,2,-12.9,45.3,9.7,23.7,-2.7,0.02,102.134,2.0,5.0, PG,Philadelphia 76ers,9424084.0,17330,85.3
Emmanuel Mudiay,DEN,55,41,25.6,3.2,3.9,0.7,0.2,11.0,55,25,30,-5.5,48.3,7.4,25.6,-3.9,-0.71,238.372,69.0,21.0, PG,Denver Nuggets,3241800.0,14770,77.1
Thaddeus Young,IND,74,74,30.2,6.1,1.6,1.5,0.4,11.0,74,40,34,2.5,56.2,9.7,30.2,0.85,5.66,148.319,0.0,1.5, PF,Indiana Pacers,14153652.0,16697,91.9
