PLAYER,TEAM_SH,G,GS,MP,TRB,AST,STL,BLK,PS/G,GP,W,L,NETRTG,TS%,PIE,MPG,RPM,WINS,pageviews,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,POSITION,TEAM,SALARY,AVG,PCT
Terry Rozier,BOS,74,0,17.1,3.1,1.8,0.6,0.1,5.5,74,47,27,-0.2,46.6,9.1,17.1,-1.06,1.65,97.465,2.0,6.0, PG,Boston Celtics,1906440.0,18553,99.6
Malcolm Delaney,ATL,73,2,17.1,1.7,2.6,0.5,0.0,5.4,73,37,36,2.2,45.6,6.4,17.1,-2.89,0.18,106.111,1.0,1.0, G,Atlanta Hawks,2500000.0,15958,85.2
Meyers Leonard,POR,74,12,16.5,3.2,1.0,0.2,0.4,5.4,74,37,37,-2.6,50.7,6.1,16.5,-1.24,1.48,148.197,149.0,31.0, PF,Portland Trail Blazers,9213483.0,19317,99.4
Denzel Valentine,CHI,57,0,17.1,2.6,1.1,0.5,0.1,5.1,57,28,29,-0.5,49.2,5.8,17.1,-2.08,0.64,303.461,23.0,24.0, SG,Chicago Bulls,2092200.0,21680,103.6
Aaron Brooks,IND,65,0,13.8,1.1,1.9,0.4,0.1,5.0,65,36,29,-3.0,50.7,6.2,13.8,-3.28,-0.09,4.083,1.0,3.0, PG,Indiana Pacers,2700000.0,16697,91.9
Mario Hezonja,ORL,65,2,14.8,2.2,1.0,0.5,0.2,4.9,65,20,45,-15.1,45.0,5.9,14.8,-6.6,-2.09,168.32,272.0,207.0, SG,Orlando Magic,3909840.0,17753,94.2
Tiago Splitter,PHI,8,0,9.5,2.8,0.5,0.1,0.1,4.9,8,1,7,-3.5,54.4,10.6,9.5,-1.28,0.09,113.143,8.0,9.0, C,Philadelphia 76ers,8550000.0,17330,85.3
Kevin Seraphin,IND,49,3,11.4,2.9,0.5,0.1,0.4,4.7,49,23,26,-9.9,55.9,9.5,11.4,-4.01,-0.31,6.717,4.5,8.0, C,Indiana Pacers,1800000.0,16697,91.9
Isaiah Canaan,CHI,39,0,15.2,1.3,0.9,0.6,0.0,4.6,39,19,20,-6.8,48.3,5.6,15.2,-4.12,-0.37,97.905,24.5,8.0, PG,Chicago Bulls,1015696.0,21680,103.6
Kris Humphries,ATL,56,4,12.3,3.7,0.5,0.3,0.4,4.6,56,31,25,-4.4,51.4,10.5,12.3,-1.89,0.54,1235.839,67.0,9.0, PF,Atlanta Hawks,4000000.0,15958,85.2
